id,condition,mean_time_diff,max_time_diff,min_time_diff,std_time_diff,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,0.16974276491862597,0.589876,0.013684,0.08171413015263848,2212,382.171741,5.787973737179066
2-39-89-25,normal,1.6030919306906979,31.381199536720374,0.04821018026541424,3.3242243869269497,213,404.289015,0.526850822300972
2-39-139-28,attack,0.16389037365475684,0.532747,0.010949,0.08463318921227155,2323,382.171741,6.0784190739000765
2-39-139-28,normal,1.0641427138111008,16.803730646780878,0.014294318448691001,2.0385805124181795,324,404.289015,0.8014068846268306
2-39-131-30,attack,0.16947143137254903,0.52358,0.015481,0.08587529255029873,2244,382.171741,5.871705726143682
2-39-131-30,normal,1.4187358752430042,21.677996817425566,0.019609490822958264,2.445499522731588,245,404.289015,0.6060021195480664
2-39-89-25,attack,0.1087733073593074,0.327224,0.015059,0.07190451427060805,231,29.238053,7.900662879296374
2-39-89-25,normal,0.12264456474663038,2.400818995296163,0.0036883203400952524,0.25431982112163204,213,53.209588,4.00303794872458
2-39-139-28,attack,0.08590870061728394,0.365591,0.010691,0.06863666298526028,324,29.238053,11.08144923329881
2-39-139-28,normal,0.08141224933209491,1.285569587020575,0.0010935869808381682,0.1559616231982205,324,53.209588,6.089128147355699
2-39-131-30,attack,0.10153772727272732,0.363542,0.011224,0.06922412894188433,253,29.238053,8.653106963038885
2-39-131-30,normal,0.10854040281684864,1.6584753708456965,0.001500224298333741,0.1870929662931328,245,53.209588,4.6044333213029205
2-39-89-25,attack,0.09320681600361655,0.392627,0.01082,0.05195871733777456,2212,211.57453,10.454944647637879
2-39-89-25,normal,0.8874895378061901,17.372981386443826,0.026689692451306257,1.840327624534143,213,233.854285,0.9108235925632066
2-39-131-30,attack,0.09201171568627452,0.400018,0.011544,0.05185469465509265,2244,211.57453,10.60619158648255
2-39-131-30,normal,0.7854279733327464,12.001180348884859,0.010856032404568339,1.3538557581031614,245,233.854285,1.0476609398027494
2-39-89-25,attack,0.09320681600361655,0.392627,0.01082,0.05195871733777456,2212,211.57453,10.454944647637879
2-39-89-25,normal,0.8874895378061901,17.372981386443826,0.026689692451306257,1.840327624534143,213,233.854285,0.9108235925632066
