id,condition,mean_stat,max_stat,min_stat,std_stat,sampling_count,simulation_time,sampling_resolution
2-39-89-25,attack,0.9962016664557665,190.78287706865763,0.00018087570363490457,8.091443367103825,3720,382.171741,9.733843717136585
2-39-89-25,normal,0.18524925311276683,0.23966910197715774,0.1294195941187751,0.0030062379056888864,3569,404.289015,8.827843121089995
2-39-139-28,attack,1.7372967029406343,453.58926455595054,0.00014208215131238919,13.981088373425278,3774,382.171741,9.875141448514373
2-39-139-28,normal,0.18491817034514466,0.22728182888235424,0.14452319175171358,0.003615076602218624,3677,404.289015,9.094978749298939
2-39-131-30,attack,2.4897584520395672,294.2933424580614,0.00020596677280409838,15.729605894847447,3762,382.171741,9.843741952652643
2-39-131-30,normal,0.18578724015684153,0.7995695144048813,0.04576263275681917,0.01660129673263409,3647,404.289015,9.020774408129787
GS_1,attack,0.19831891608859314,0.6822461128468891,0.06553059849372496,0.03811914674281516,3739,382.171741,9.783559585584324
GS_1,normal,0.36814269443505954,7.325810771680904,0.0055409033474283125,0.6075358612498324,2464,404.289015,6.094649888026267
2-39-89-25,attack,0.1824157633565547,0.2333329420152227,0.15198204410697105,0.009006952630108853,255,29.238053,8.721510970651842
2-39-89-25,normal,0.18385217746515609,0.6189773659598904,0.04143019020180529,0.032138179468853056,434,53.209588,8.156424740593744
2-39-139-28,attack,0.18431049338521052,0.7385536913137747,0.14075531921784673,0.03511352352586325,282,29.238053,9.644965073426743
2-39-139-28,normal,0.18377846408096357,0.6277592847695421,0.1358946774300835,0.02184465242748953,497,53.209588,9.340421880357352
2-39-131-30,attack,0.18859889491722373,1.121430160673284,0.041237106630768634,0.08778295481684543,260,29.238053,8.89252098968423
2-39-131-30,normal,0.18298741468310442,0.2681131871966911,0.13209051848532288,0.011349294600794145,459,53.209588,8.626264875420572
GS_1,attack,0.36814269443505954,7.325810771680904,0.0055409033474283125,0.6075358612498324,2464,29.238053,84.27373737916133
GS_1,normal,0.2164418335185226,1.5166516272634303,0.0186135851447417,0.19246140392905764,421,53.209588,7.912107870483794
2-39-89-25,attack,0.18114615737270268,1.3690858015654312,0.0241457441975324,0.058779375383847955,2044,211.57453,9.660898218703357
2-39-89-25,normal,0.18589531318170294,0.22858378464491766,0.1525400022630371,0.0032861850559736737,2040,233.854285,8.723380886520852
2-39-131-30,attack,0.18097622202922953,1.4023435612638449,0.021519128862327624,0.054626662154932525,2049,211.57453,9.684530552897836
2-39-131-30,normal,0.1864366215059494,0.38055514834281456,0.07886213377211292,0.01761175177693159,2092,233.854285,8.945741575785108
GS_1,attack,0.2079776140868539,0.500097803271081,0.05943559537004239,0.034140271350755945,2053,211.57453,9.70343642025342
GS_1,normal,0.2994055394313562,3.430556890255622,0.005911797853229232,0.4124143075431395,1474,233.854285,6.303070307221439
2-39-139-28,attack,0.17796002632775088,0.3062895026557447,0.08776465194496332,0.018020297042682116,274,28.092611,9.753454386991654
2-39-139-28,normal,0.18699979673371994,0.2573491421759442,0.04107644222566005,0.013856222815127927,484,51.892716,9.32693520994353
2-39-131-30,attack,0.3926394673171816,51.99189706194922,0.036017710940157516,3.344692666265012,240,28.092611,8.543171725832105
2-39-131-30,normal,0.1879881424711504,0.6792645173698507,0.14876710377247157,0.0244942616326248,449,51.892716,8.652466754679018
GS_1,attack,0.21857141564516874,5.662341502863661,0.09137464336382158,0.3615326458705862,236,28.092611,8.40078553040157
GS_1,normal,0.21113473129274285,2.583682135274492,0.01979347013536735,0.15194724947175411,418,51.892716,8.055080408587594
2-39-89-25,attack,0.9799276342648421,280.1603083205249,0.00023516415294903793,9.431945993470674,3730,382.849363,9.742735290903436
2-39-89-25,normal,0.18712966603612516,0.6884316896933953,0.07481274752816859,0.03058386766491714,3565,403.764001,8.82941518107257
2-39-139-28,attack,3.8340093296533486,1642.9138438880707,5.0209456340908956e-05,34.391223140474494,3781,382.849363,9.87594695305788
2-39-139-28,normal,0.18507044087226254,0.22057502686480288,0.14661312108722524,0.0027941607252393863,3676,403.764001,9.104328248421533
2-39-131-30,attack,2.655851778499657,380.3047772797757,0.00011781328472927444,17.093902821577146,3753,382.849363,9.802811138541715
2-39-131-30,normal,0.18521650610054013,0.23052484215069488,0.14606775485208856,0.003533956737675393,3647,403.764001,9.03250411370874
GS_1,attack,0.19760294024738678,0.8302067086617183,0.02483739635569237,0.0558972124032214,3729,382.849363,9.740123297527859
GS_1,normal,0.2952716008834261,6.062196095507656,0.00711847698437511,0.4277820322718935,2478,403.764001,6.137248476493079
2-39-89-25,attack,0.19343715836841618,1.5400773834119317,0.06117806242242249,0.1347450016937025,245,28.588435,8.569898981878511
2-39-89-25,normal,0.18245676026556565,0.2269462831530757,0.03909445225573094,0.011446276551792364,409,51.87778,7.883914847551302
2-39-139-28,attack,0.17621609655834758,0.2279183231766842,0.045105967732776114,0.013995257012138858,277,28.588435,9.689232726450399
2-39-139-28,normal,0.183480595978312,1.368237255089102,0.10305388156019175,0.05560049048773956,481,51.87778,9.271792277927082
2-39-131-30,attack,0.18192820558963427,1.2659088995270047,0.03595879370547509,0.07383949081486045,252,28.588435,8.814753238503611
2-39-131-30,normal,0.18238085335995707,0.2990706332820999,0.029833723212220498,0.014484196158103525,437,51.87778,8.423644959364106
GS_1,attack,0.1941160765520814,0.7524412060198474,0.06409870688058097,0.08842158034854909,242,28.588435,8.464961443324897
GS_1,normal,0.24194414899926167,2.921849382446169,0.02634719326263314,0.27800259102549635,411,51.87778,7.922466998395074
2-39-89-25,attack,0.18050344668850968,1.0283743840149129,0.12704553637898977,0.022213395143474046,1989,203.895903,9.754977764315353
2-39-89-25,normal,0.18613733558485157,0.22906278489937962,0.14747015899037458,0.0039745634901072946,1975,226.870636,8.705401610457866
2-39-131-30,attack,0.17992762197121082,0.2825018018951739,0.04036304132027822,0.012265857598607035,1994,203.895903,9.779500081470495
2-39-131-30,normal,0.18592497650249032,0.22945390054812537,0.1575147665937757,0.0035301049550904096,2026,226.870636,8.930199322930449
GS_1,attack,0.20512715419324404,0.44457408203247656,0.06600934493974801,0.036677454970730834,1988,203.895903,9.750073300884324
GS_1,normal,0.29364528866829886,3.812307934280253,0.00776213008598809,0.38227890253164737,1440,226.870636,6.347229528637633
2-39-89-25,attack,0.181040362520909,0.2089174447955095,0.08974151846529854,0.010226563834769232,229,27.329391,8.379257335079291
2-39-89-25,normal,0.18412376969445785,0.2892205983003644,0.14735233592397326,0.012517063087557711,409,52.037656,7.859692988477422
2-39-139-28,attack,0.1808363750811223,0.22414581330006925,0.1077012035977235,0.00996702459187321,262,27.329391,9.586748566771941
2-39-139-28,normal,0.18643619214996265,1.4334564755509775,0.02743914797317676,0.06698068545645999,475,52.037656,9.128005304466443
