id,condition,type,field,mean_top,max_top,min_top,std_top,mean_stat,max_stat,min_stat,std_stat,mean_time_diff,max_time_diff,min_time_diff,std_time_diff
2-39-89-25,attack,branch,dequeue_task_fair,3.4760000000000004,4.99,2.32,1.028751670715533,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,___slab_alloc,3.957175572519085,10.87,0.03,2.687817322893214,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,intel_pmu_hw_config.part.0,3.775625,7.98,1.34,1.6293760308780785,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,ctx_sched_in,5.199200000000002,30.25,2.44,4.847432663644898,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,__mod_memcg_lruvec_state,3.35125,6.2,2.22,1.3054986731951457,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,psi_task_switch,3.0804,26.97,0.03,3.686334703792791,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,inherit_task_group.isra.0,3.322676056338028,12.68,0.01,2.309323931832171,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,psi_group_change,10.306628571428572,95.91,0.18,8.803015734514172,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,switch_fpu_return,2.414,3.32,2.38,0.1632068337669574,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,perf_event_groups_first,4.425421686746988,34.3,0.51,7.172468585688928,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,x86_reserve_hardware,3.000344827586207,4.15,0.0,1.44379612391394,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,clear_page_erms,2.54,3.01,2.23,0.4138840417314974,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,dequeue_task,6.184782608695652,24.9,1.52,5.673804935895566,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,obj_cgroup_charge_pages,4.479666666666666,23.54,0.38,4.367635265918153,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,sched_clock_cpu,4.710999999999999,8.81,1.82,1.992445997419147,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,x86_pmu_event_init,3.569571428571429,23.18,0.3,3.1493677468611008,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,intel_pmu_event_map,2.8940425531914897,16.64,1.99,2.422357511019652,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,perf_pmu_nop_int,6.101333333333334,21.65,1.53,5.368239121384946,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,__update_load_avg_cfs_rq,2.292361111111111,4.97,0.01,1.0112765507655783,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,visit_groups_merge.constprop.0.is,4.5858620689655165,19.04,1.98,3.356524049456712,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
2-39-89-25,attack,branch,__update_load_avg_se,2.6556999999999995,10.28,0.03,2.114886751033485,0.9962016664557664,190.78287706865763,0.0001808757036349,8.091443367103825,0.1697427649186259,0.589876,0.013684,0.0817141301526384
